,RequestID,Boro,Yr,SegmentID,WktGeom,street,fromSt,toSt,Direction,Vol
54,1154,Manhattan,2011,31539,POINT (981309 200787.8),GREENWICH ST,JAY ST,DUANE ST,SB,52.10787671232877
55,1155,Manhattan,2011,31539,POINT (981309 200787.8),GREENWICH ST,JAY ST,DUANE ST,SB,53.64978902953587
56,1156,Manhattan,2011,31539,POINT (981309 200787.8),GREENWICH ST,JAY ST,DUANE ST,SB,63.26639344262295
57,1157,Manhattan,2011,33012,POINT (987359.7 209806.2),5 AV,W 25 ST,BROADWAY,SB,278.4254577157803
58,1158,Manhattan,2011,34122,POINT (988658.3 219868.7),COLUMBUS AV,W 61 ST,W 60 ST,SB,260.31744749596123
59,1159,Manhattan,2011,34212,POINT (989405.6 216574.4),W 51 ST,6 AV,7 AV,WB,84.0010395010395
60,1160,Manhattan,2011,35850,POINT (989658.6 217029.1),W 53 ST,6 AV,7 AV,WB,87.88415672913118
61,1161,Manhattan,2011,34212,POINT (989405.6 216574.4),W 52 ST,7 AV,6 AV,EB,83.24016563146998
62,1162,Manhattan,2011,34257,POINT (989420 219391.8),CENTRAL PK W,W 60 ST,W 61 ST,NB,136.77843866171003
63,1163,Manhattan,2011,34468,POINT (989283.8 221010.1),COLUMBUS AV,W 67 ST,W 66 ST,SB,160.71602787456445
64,1164,Manhattan,2011,34497,POINT (989271.3 222836.9),AMSTERDAM AV,W 71 ST,W 72 ST,NB,250.6344005956813
65,1165,Manhattan,2011,34506,POINT (989248.4 223157.5),BROADWAY,W 73 ST,W 72 ST,SB,151.65850244926523
66,1166,Manhattan,2011,35850,POINT (989658.6 217029.1),W 53 ST,6 AV,7 AV,WB,91.81117021276596
67,1167,Manhattan,2011,35859,POINT (989785.5 217257.1),W 54 ST,7 AV,6 AV,EB,83.92665289256199
68,1168,Manhattan,2011,35861,POINT (989912.2 217486),W 55 ST,6 AV,7 AV,WB,103.51237113402063
69,1169,Manhattan,2011,35863,POINT (990037.7 217712.1),W 56 ST,7 AV,6 AV,EB,63.812828601472134
70,1170,Manhattan,2011,35868,POINT (990768.4 218109.8),6 AV,W 58 ST,CPS / W 59 ST,NB,172.5267983074753
71,1171,Manhattan,2011,35869,POINT (989729.3 218846),CPS / W 59 ST,COLUMBUS CIRCLE,7 AV,EB,115.62120088954781
72,1172,Manhattan,2011,35869,POINT (989729.3 218846),CPS / W 59 ST,7 AV,COLUMBUS CIRCLE,WB,137.64684014869889
73,1173,Manhattan,2011,35875,POINT (990439.6 218452.3),CPS / W 59 ST,7 AV,6 AV,EB,95.76981957353745
74,1174,Manhattan,2011,35875,POINT (990439.6 218452.3),CPS / W 59 ST,6 AV,7 AV,WB,220.07561156412157
75,1175,Manhattan,2011,35876,POINT (990820.3 218350.4),CENTRAL PK ENT AT 6 AV,CPS / W 59 ST,CENTRAL PK,NB,35.052866716306774
76,1176,Manhattan,2011,35876,POINT (990820.3 218350.4),CENTRAL PK EXT,CENTRAL PK,CPS / W 59 ST/ 6 AV,SB,38.223538119911176
77,1177,Manhattan,2011,35981,POINT (991201.7 215729.1),MADISON AV,E 51 ST,E 52 ST,NB,169.9880149812734
78,1178,Manhattan,2011,35981,POINT (991201.7 215729.1),MADISON AV,E 51 ST,E 52 ST,NB,232.38814016172506
79,1179,Manhattan,2011,36017,POINT (991193.3 218032.4),CPS / W 59 ST,6 AV,5 AV,EB,128.4308885754584
80,1180,Manhattan,2011,36017,POINT (991193.3 218032.4),CPS / 59 ST,5 AV,6 AV,WB,84.94063926940639
81,1181,Manhattan,2011,36017,POINT (991193.3 218032.4),CPS / 59 ST,5 AV,6 AV,WB,114.79417879417879
82,1182,Manhattan,2011,36026,POINT (991916 218063.7),5 AV,E 61 ST,E 60 ST,SB,249.71287825475017
83,1183,Manhattan,2011,36121,POINT (992534.6 214243.7),E 49 ST,2 AV,3 AV,WB,96.44044502617801
84,1184,Manhattan,2011,36124,POINT (992538.8 214987.8),3 AV,E 51 ST,E 52 ST,NB,342.0281967213115
85,1185,Manhattan,2011,36162,POINT (992232.5 217588),MADISON AV,E 59 ST,E 60 ST,NB,253.2330827067669
86,1186,Manhattan,2011,37081,POINT (990840 221950.3),CENTRAL PK W,W 71 ST,W 72 ST,NB,116.38812785388127
87,1187,Manhattan,2011,37083,POINT (990191.8 222633.8),COLUMBUS AV,W 73 ST,W 72 ST,SB,178.72761194029852
88,1188,Manhattan,2011,37089,POINT (990978 222199.2),CENTRAL PK W,W 73 ST,W 72 ST,SB,56.43062827225131
89,1189,Manhattan,2011,37121,POINT (990312.5 226564.5),WEST END AV,W 85 ST,W 86 ST,NB,58.19343575418994
90,1190,Manhattan,2011,37123,POINT (990450.4 226811.7),WEST END AV,W 87 ST,W 86 ST,SB,76.30328441649196
91,1191,Manhattan,2011,37175,POINT (990962.4 222046.9),W 72 ST ENT TO PK,CENTRAL PK W,CENTRAL PK,EB,9.082089552238806
92,1192,Manhattan,2011,37175,POINT (990962.4 222046.9),W 72 ST EXT FROM PK,CENTRAL PK,CENTRAL PK W,WB,3.6268382352941178
93,1193,Manhattan,2011,37175,POINT (990962.4 222046.9),W 72 ST EXT FROM PK,CENTRAL PK,CENTRAL PK W,WB,3.2587412587412588
94,1194,Manhattan,2011,37180,POINT (991600.1 221281.4),CENTRAL PK TERR DR,E DR,W DR,WB,16.626620570440796
95,1195,Manhattan,2011,37218,POINT (992023.9 225939.7),COLUMBUS AV,W 87 ST,W 86 ST,SB,122.38703703703703
96,1196,Manhattan,2011,37220,POINT (991099.7 226128.7),AMSTERDAM AV,W 85 ST,W 86 ST,NB,193.58881118881118
97,1197,Manhattan,2011,37312,POINT (992673 225257.6),CENTRAL PK W,W 85 ST,W 86 ST,NB,102.27668711656442
98,1198,Manhattan,2011,37314,POINT (992809.8 225504.7),CENTRAL PK W,W 87 ST,W 86 ST,SB,63.93738489871087
99,1199,Manhattan,2011,37340,POINT (992387 228450.4),AMSTERDAM AV,W 95 ST,W 96 ST,NB,201.78581363004173
100,1200,Manhattan,2011,37371,POINT (993449 220830.7),5 AV,E 73 ST,E 72 ST,SB,25.62295081967213
101,1201,Manhattan,2011,37371,POINT (993449 220830.7),5 AV,E 73 ST,E 72 ST,SB,125.00875912408759
102,1202,Manhattan,2011,37376,POINT (993754.7 220335.3),MADISON AV,E 71 ST,E 72 ST,NB,201.5673438675696
103,1203,Manhattan,2011,37383,POINT (993293.1 222096.1),CENTRAL PK E DR,E 72 ST,E 86 ST,NB,19.43884892086331
104,1204,Manhattan,2011,37425,POINT (993960.6 227580.7),CENTRAL PK W,W 95 ST,W 96 ST,NB,86.97664413030117
105,1205,Manhattan,2011,37427,POINT (993313.1 228265.6),COLUMBUS AV,W 97 ST,W 96 ST,SB,154.8292231812577
106,1206,Manhattan,2011,37494,POINT (994099.1 227830.6),CENTRAL PK W,W 97 ST,W 96 ST,SB,97.97416974169742
107,1207,Manhattan,2011,37498,POINT (993774.3 228171.8),W 97 ST,CENTRAL PK W,COLUMBUS AV,WB,101.59234234234235
108,1208,Manhattan,2011,37572,POINT (995587.4 223642.5),MADISON AV,E 85 ST,E 86 ST,NB,170.5977358490566
109,1209,Manhattan,2011,37581,POINT (995280.9 224136.5),5 AV,E 87 ST,E 86 ST,SB,161.23157162726008
110,1210,Manhattan,2011,37652,POINT (996925.4 222901.5),3 AV,E 85 ST,E 86 ST,NB,193.0017470300489
111,1211,Manhattan,2011,37662,POINT (996618.9 223394.7),LEXINGTON AV,E 87 ST,E 86 ST,SB,164.14048442906574
112,1212,Manhattan,2011,37697,POINT (996874.8 225965.3),MADISON AV,E 95 ST,E 96 ST,NB,147.18665667166417
113,1213,Manhattan,2011,37706,POINT (996565.4 226460.3),5 AV,E 97 ST,E 96 ST,SB,107.26907894736843
114,1214,Manhattan,2011,37757,POINT (997683.7 222804.4),2 AV,E 87 ST,E 86 ST,SB,217.1862404447533
115,1215,Manhattan,2011,37868,POINT (998202.5 222193.8),1 AV,E 85 ST,E 86 ST,NB,244.7188587334725
116,1216,Staten Island,2011,5491,POINT (939162 160772.7),RICHMOND AV,GREENTREE LA,VICTORY BLVD,SB,83.24843161856964
117,1217,Staten Island,2011,5491,POINT (939162 160772.7),RICHMOND AV,GREENTREE LA,VICTORY BLVD,SB,129.10164835164835
118,1218,Queens,2011,66878,POINT (1008485.9 202975.9),58 ST,MAURICE AV / MASPETH AV,56 DR,NB,31.54255319148936
119,1219,Queens,2011,66878,POINT (1008485.9 202975.9),58 ST,56 DR,MAURICE AV / MASPETH AV,SB,58.57260273972603
120,1220,Queens,2011,66965,POINT (1009619.7 203937.3),MAURICE AV,55 DR,55 RD,NB,99.13157894736842
121,1221,Queens,2011,66965,POINT (1009619.7 203937.3),MAURICE AV,55 RD,55 DR,SB,79.22105263157894
122,1222,Bronx,2011,77772,POINT (1016140.1 239105.6),BRUCKNER BLVD OUTER RDWY,BRONX RIVER AV,EDGEWATER RD,WB,115.8476929358922
123,1223,Bronx,2011,77855,POINT (1016494.7 239037.7),BRUCKNER BLVD OUTR RDWY,EDGEWATER RD,BRONX RIVER AVE,EB,336.00533592044627
124,1224,Bronx,2011,95879,POINT (1038049.4 262255.7),NEW ENGLAND THRUWAY,CITY LINE,CITY LINE,SB,267.5905621096461
125,1225,Bronx,2011,95879,POINT (1038049.4 262255.7),NEW ENGLAND THRUWAY,CITY LINE,CITY LINE,SB,468.4647058823529
126,1226,Staten Island,2011,9690,POINT (949627.4 162614.5),VICTORY BLVD,S GREENLEAF AV,RAYMOND AV,EB,90.82224168126095
127,1227,Staten Island,2011,9690,POINT (949627.4 162614.5),VICTORY BLVD,RAYMOND AV,S GREENLEAF AV,WB,76.06654991243433
128,1228,Queens,2011,102541,POINT (1060623.8 208989.3),81 AV,CROSS ISLAND PKWY / 244 ST,COMMONWEALTH BLVD,EB,39.96825396825397
129,1229,Queens,2011,102541,POINT (1060623.8 208989.3),81 AV,CROSS ISLAND PKWY / 244 ST,COMMONWEALTH BLVD,EB,31.80873180873181
130,1230,Queens,2011,102557,POINT (1060645.9 209131.7),COMMONWEALTH BLVD,80 RD,81 AV,SB,27.33532041728763
131,1231,Queens,2011,102559,POINT (1060732.4 208924.6),COMMONWEALTH BLVD,82 AV,81 AV,NB,29.11144130757801
132,1232,Queens,2011,102560,POINT (1060836.3 209048.1),81 AV,246 ST,COMMONWEALTH BLVD,WB,22.788059701492536
133,1233,Staten Island,2011,105584,POINT (959087.1 165013.3),ARLO AV,STRATFORD AV,HOWARD AV,EB,6.60752688172043
134,1234,Brooklyn,2011,105931,POINT (990930.1 167348.1),AV I,MCDONALD AV,E 2 ST,EB,41.523316062176164
135,1235,Staten Island,2011,108525,POINT (959140.7 164829.3),HOWARD AV,SIGNAL HILL RD,ARLO RD,NB,41.7372654155496
136,1236,Queens,2011,109416,POINT (1009940.6 200637.2),59 DR,60 ST,59 PL,WB,25.90625
137,1237,Queens,2011,109444,POINT (1011349.8 201052.4),FRESH POND RD,61 ST,59 RD,NB,33.00804289544236
138,1238,Queens,2011,109444,POINT (1011349.8 201052.4),FRESH POND RD,59 RD,61 ST,SB,37.343163538873995
139,1239,Queens,2011,109445,POINT (1011376.7 200928),FRESH POND RD,59 DR,61 ST,NB,61.42972972972973
140,1240,Staten Island,2011,10635,POINT (952774.5 144073),TYSENS LN,FALCON AV,MILL RD,SB,37.94307400379507
141,1241,Staten Island,2011,10721,POINT (953333.7 143645.7),TYSEN LN,WEED AV,MILL RD,NB,16.794871794871796
142,1242,Staten Island,2011,10731,POINT (953164.6 144049.1),MILL RD,ISERNIA AV,TYSENS LN,WB,27.537072243346007
143,1243,Brooklyn,2011,109267,POINT (977146.2 167250.2),81 ST,4 AV,5 AV,EB,15.680772086117297
144,1244,Bronx,2011,111556,POINT (1009038.6 245151),MORRIS AV,E 171 ST,E 172 ST,NB,28.32191780821918
145,1245,Bronx,2011,111564,POINT (1009264.8 245345.6),E 172 ST,COLLEGE AV,MORRIS AV,WB,3.3684710351377016
146,1246,Bronx,2011,111565,POINT (1009060.1 245683),SELWYN AV,MT EDEN PKWY,E 172 ST / MORRIS AV,EB,10.785714285714286
147,1247,Staten Island,2011,12137,POINT (958038.5 156784.4),VISTA AV,HOLLY CT,RICHMOND RD,SB,10.033419023136247
148,1248,Staten Island,2011,12138,POINT (958140.8 156646.8),RICHMOND RD,WHITAKERS PL,VISTA AV,EB,114.8925831202046
149,1249,Staten Island,2011,12141,POINT (958267.7 156753),RICHMOND RD,OLD TOWN RD,VISTA AV,WB,122.72842639593908
150,1250,Staten Island,2011,126595,POINT (953029.9 143795.4),MILL RD,EVA AV / PENN AV,TYSENS LN,EB,22.397716460513795
151,1251,Queens,2011,130062,POINT (1011921.2 205634.9),65 PL,53 DR,53 AV,NB,30.231610337972167
152,1252,Queens,2011,131496,POINT (1034275.4 203478.6),73 AV,MAIN ST,147 ST,EB,16.171860245514637
153,1253,Queens,2011,131528,POINT (1034461.5 203625),147 ST,72 DR,73 AV,SB,0.9850046860356139
154,1254,Queens,2011,131531,POINT (1034510.4 203500.3),147 ST,75 AVE,73 AV,NB,8.577319587628866
155,1255,Staten Island,2011,13489,POINT (959175.2 169796.7),CASTLETON AV,HAVEN ESPLN,GLEN AV,EB,24.88134328358209
156,1256,Staten Island,2011,13490,POINT (959290.9 169807.9),WOODSTOCK AV,DUER LA,CASTLETON AV,NB,11.368185212845408
157,1257,Staten Island,2011,13966,POINT (959297.5 169961.5),CASTLETON AV,WEBSTER AV,WOODSTOCK AV/GLEN AV,WB,28.99039121482498
158,1258,Brooklyn,2011,17174,POINT (977421.3 166866.8),5 AV,82 ST,81 ST,NB,35.20697329376855
159,1259,Brooklyn,2011,17176,POINT (977504.2 167132.7),5 AV,80 ST,81 ST,SB,37.81413612565445
160,1260,Brooklyn,2011,17176,POINT (977504.2 167132.7),5 AV,80 ST,81 ST,SB,27.61105207226355
161,1261,Staten Island,2011,2099,POINT (929707.5 132482),WOODHULLE AV,HAWLEY AV,AMBOY RD,SB,10.220322886989553
162,1262,Staten Island,2011,2673,POINT (929921.8 132508.7),AMBOY RD,CHISHOLM ST,WOODHULLE  AV,WB,50.0
163,1263,Queens,2011,51925,POINT (1028950.7 183147.1),CENTREVILLE ST,150 RD,ALBERT RD,NB,5.024461839530333
164,1264,Queens,2011,51926,POINT (1029105 183228.7),ALBERT RD,TAHOE ST,CENTREVILLE ST,WB,62.81042654028436
165,1265,Queens,2011,52083,POINT (1029044.7 183460.5),CENTREVILLE ST,ECKFORD AV,ALBERT RD,SB,19.551984877126653
166,1266,Queens,2011,53978,POINT (1038486.9 153659.8),ROCKAWAY B BLVD,B 79 ST,B 77 ST,EB,37.45358090185676
167,1267,Queens,2011,53980,POINT (1038715.4 153710.3),ROCKAWAY B BLVD,B 76 ST,B 77 ST,WB,49.205263157894734
168,1268,Bronx,2011,72167,POINT (1008923.5 245472.7),E 172 ST,SHERIDAN AV,MORRIS AV,EB,5.747148288973384
169,1269,Bronx,2011,72306,POINT (1009232.7 245585.5),MORRIS AV,TELLER AV,E 172 ST,SB,23.762857142857143
170,1270,Queens,2011,73845,POINT (1011933.5 206105.9),65 PL,52 AV / 62 ST,53 AV,SB,39.74751491053678
171,1271,Staten Island,2011,7722,POINT (941222 152853),KELLY BLVD,NOME AV,KLONDIKE AV,NB,32.25212464589235
172,1272,Staten Island,2011,7723,POINT (941396.5 153309.3),KLONDIKE AV,FRASER ST,KELLY BLVD,EB,8.904446546830652
173,1273,Staten Island,2011,7727,POINT (941612.8 153148.2),KLONDIKE AV,BRIDGETOWN,KELLY BLVD,WB,8.707939508506616
174,1274,Staten Island,2011,7729,POINT (941604.6 153363.4),KELLY BLVD,TRAVIS AV,KLONDIKE AV,SB,35.10377358490566
175,1275,Bronx,2011,77943,POINT (1017449.9 238136),COLGATE AV,LAFAYETTE AV,STORY AV,NB,11.68785578747628
176,1276,Queens,2011,77946,POINT (1017242.2 238499.8),STORY AV,CLOSE AV,COLGATE AV,EB,32.254976303317534
177,1277,Bronx,2011,77947,POINT (1017499.9 238545.9),STORY AV,EVERGREEN AV,COLGATE AV,WB,48.82102272727273
178,1278,Bronx,2011,77948,POINT (1017312.9 238851.3),COLGATE AV,BRUCKNER BLVD,STORY AV,SB,2.0459882583170255
179,1279,Queens,2011,90310,POINT (1034800.2 203684.7),73 AV,150 ST,147 ST,WB,12.865168539325843
180,1280,Queens,2011,98031,POINT (1046235.4 217367.6),41 AV,209 ST,CORPORAL KENNEDY ST,EB,3.064114832535885
181,1281,Queens,2011,98033,POINT (1046306.1 217539.1),CORPORAL KENNEDY ST,39 AV,41 AV,SB,32.430817610062896
182,1282,Queens,2011,98035,POINT (1046410.1 217312.1),CORPORAL KENNEDY ST,42 AV,41 AV,NB,32.022944550669216
183,1283,Queens,2011,98036,POINT (1046501.8 217402.5),41 AV,210 ST,CORPORAL KENNEDY ST,WB,15.356382978723405
184,1284,Queens,2011,98036,POINT (1046501.8 217402.5),41 AV,210 ST,CORPORAL KENNEDY ST,WB,14.894029850746268
185,1285,Queens,2011,116319,POINT (1007135.1 201393),PAGE PL,MASPETH AV,GRAND AV,SB,39.49184782608695
186,1286,Queens,2011,116319,POINT (1007135.1 201393),PAGE PL,MASPETH AV,GRAND AV,SB,34.640117994100294
187,1287,Bronx,2011,116415,POINT (1013607.4 243441.7),LOUIS NINE BLVD,BOSTON RD,E 170 ST,EB,32.17965653896962
188,1288,Brooklyn,2011,127513,POINT (997051.2 182087),AVE K,E 26 ST,E 27 ST,EB,29.90909090909091
189,1289,Brooklyn,2011,127515,POINT (996835.1 182429.1),AV K,E 28 ST,E 27 ST,WB,34.48525469168901
190,1290,Queens,2011,128582,POINT (1007364.9 196607),CYPRESS AV,DEKALB AV,STOCKHOLM ST,EB,30.660493827160494
191,1291,Queens,2011,128585,POINT (1007518.7 196488),CYPRESS AV,STANHOPE ST,STOCKHOLM ST,WB,31.383022774327124
192,1292,Queens,2011,129221,POINT (1040258.7 186649.7),143 ST,119 AV,FOCH BLVD,NB,9.248671625929862
193,1293,Queens,2011,129614,POINT (1005573.6 209475.5),47 AV,41 ST,42 ST,EB,16.083756345177665
194,1294,Queens,2011,106855,POINT (1005690.5 209802),42 ST,QUEENS BLVD,47 AV,SB,21.838874680306905
195,1295,Queens,2011,129615,POINT (1007236.7 200885.7),GRAND AV,57 ST,PAGE PL,WB,47.296495956873315
196,1296,Queens,2011,129615,POINT (1007236.7 200885.7),GRAND AV,57 ST,PAGE PL,WB,27.953333333333333
197,1297,Queens,2011,129615,POINT (1007236.7 200885.7),GRAND AV,57 ST,PAGE PL,WB,49.87667560321716
198,1298,Staten Island,2011,13441,POINT (959253 165041.6),HOWARD AV,CLAIRE CT,ARLO RD,SB,38.89247311827957
199,1299,Brooklyn,2011,163194,POINT (993692.7 153024.3),AV Z,OCEAN PKWY,E 6 ST,EB,58.783715012722645
200,1300,Brooklyn,2011,18737,POINT (984032.8 159496.3),BAY 22 ST,BENSON AV,86 ST,NB,12.21957671957672
201,1301,Brooklyn,2011,18738,POINT (984428.5 159792.2),86 ST,BAY 23 ST,BAY 22 ST,WB,42.21842105263158
202,1302,Brooklyn,2011,18762,POINT (986046.1 154214),SHORE PKWY,BAY 41 ST,26 AV,EB,82.38219895287958
203,1303,Brooklyn,2011,19813,POINT (984225.7 159952.2),86 ST,19 AV,BAY 22 ST,EB,49.915789473684214
204,1304,Brooklyn,2011,23679,POINT (984695.8 192730.9),FURMAN ST,JORALEMON ST,MONTAGUE ST,EB,8.77377521613833
205,1305,Brooklyn,2011,23679,POINT (984695.8 192730.9),FURMAN ST,JORALEMAN ST,MONTAGUE ST,EB,10.065548780487806
206,1306,Brooklyn,2011,23679,POINT (984695.8 192730.9),FURMAN ST,MONTAGUE ST,JORALEMON ST,WB,53.41702741702742
207,1307,Brooklyn,2011,23679,POINT (984695.8 192730.9),FURMAN ST,MONTAGUE ST,JORALEMON ST,WB,60.44274809160305
208,1308,Brooklyn,2011,23917,POINT (985828.1 195349.9),OLD FULTON ST,WATER ST,ELIZABETH PL,EB,46.84202898550725
209,1309,Brooklyn,2011,23917,POINT (985828.1 195349.9),OLD FULTON ST,ELIZABETH PL,WATER ST,WB,54.44057971014493
